Year,Budget,CIP_Count,CIP_Spend,Budget_Utilization,Emergency_Count,Emergency_Cost,Break_Events,Breaks,Repair_Cost,Backlog_CIP,Backlog_Emergency,Backlog_Remaining,Eligible,Deferred,Unfundable,Unfundable_Length,Emergency_degradation,Emergency_break_failure,Emergency_break_damage
48,1930001.7713426484,7,1862417.6726471998,0.964982364421131,0,0.0,0,0,0.0,0,0,0,8,1,0,0.0,0,0,0
49,1930001.7713426484,6,837473.179068,0.4339235287257759,0,0.0,2,2,10000.0,0,0,0,6,0,0,0.0,0,0,0
50,1930001.7713426484,4,1616771.4115248,0.8377046257320567,0,0.0,0,0,0.0,0,0,0,6,2,0,0.0,0,0,0
51,1930001.7713426484,4,1485658.9933344,0.7697707926458889,0,0.0,1,1,5000.0,0,0,0,4,0,0,0.0,0,0,0
52,1930001.7713426484,2,33053.2253784,0.017126007793975127,0,0.0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0
53,1930001.7713426484,3,332188.9348248,0.172118461110896,0,0.0,2,2,10000.0,0,0,0,3,0,0,0.0,0,0,0
54,1930001.7713426484,1,655816.7963520001,0.3398011370195617,0,0.0,1,1,5000.0,0,0,0,1,0,0,0.0,0,0,0
55,1930001.7713426484,1,16498.2259008,0.008548295729968498,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0
56,1930001.7713426484,1,48625.5873096,0.025194581700188044,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0
57,1930001.7713426484,4,1039455.120576,0.5385772883787977,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
58,1930001.7713426484,4,1053315.4060511999,0.5457587768525403,0,0.0,1,1,5000.0,0,0,0,4,0,0,0.0,0,0,0
59,1930001.7713426484,4,931137.7436232001,0.4824543466483109,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
60,1930001.7713426484,1,22793.9484384,0.011810325138998648,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0
61,1930001.7713426484,2,783391.1581007999,0.4059017819221049,0,0.0,1,1,5000.0,0,0,0,2,0,0,0.0,0,0,0
62,1930001.7713426484,4,1409008.44516,0.7300555191614109,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
63,1930001.7713426484,4,1775076.392124,0.9197278564615663,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
64,1930001.7713426484,6,1851081.5333712003,0.959108722518661,0,0.0,0,0,0.0,0,0,0,7,1,0,0.0,0,0,0
65,1930001.7713426484,3,1629588.613104,0.844345656724626,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
66,1930001.7713426484,3,44009.870063760005,0.022803020555335327,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
67,1930001.7713426484,4,818104.4496888,0.42388792685908655,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
68,1930001.7713426484,1,124506.03492,0.06451083971461054,0,0.0,0,0,0.0,0,0,0,2,0,1,5347.609294,0,0,0
69,1930001.7713426484,1,65008.0493928,0.033682896232564444,0,0.0,1,1,5000.0,0,0,0,2,0,1,5347.609294,0,0,0
70,1930001.7713426484,2,53640.344959199996,0.027792899341166875,0,0.0,1,1,5000.0,0,0,0,4,0,2,7121.093076,0,0,0
71,1930001.7713426484,2,479813.19948,0.24860764720760195,0,0.0,1,1,5000.0,0,0,0,4,0,2,7121.093076,0,0,0
72,1930001.7713426484,3,354873.3273,0.18387202155422092,0,0.0,1,1,5000.0,0,0,0,5,0,2,7121.093076,0,0,0
73,1930001.7713426484,3,515700.2342808,0.2672019486914987,0,0.0,0,0,0.0,0,0,0,5,0,2,7121.093076,0,0,0
74,1930001.7713426484,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,2,0,2,7121.093076,0,0,0
75,1930001.7713426484,3,465702.959424,0.2412966487072307,1,26738046.47,1,1,5000.0,0,0,0,5,0,2,7121.093076,1,0,0
76,1930001.7713426484,3,1063714.686624,0.5511470001833229,1,8867418.91,0,0,0.0,0,0,0,4,0,1,1773.483782,1,0,0
77,1930001.7713426484,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
78,1930001.7713426484,2,204982.2110832,0.10620830204761915,0,0.0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0
79,1930001.7713426484,2,146248.103592,0.0757761499308155,0,0.0,1,1,5000.0,0,0,0,2,0,0,0.0,0,0,0
80,1930001.7713426484,1,640599.484176,0.3319165265482388,0,0.0,2,2,10000.0,0,0,0,1,0,0,0.0,0,0,0
81,1930001.7713426484,3,987261.784944,0.5115341341149078,0,0.0,1,1,5000.0,0,0,0,3,0,0,0.0,0,0,0
82,1930001.7713426484,1,454352.170536,0.23541541633918805,0,0.0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0
83,1930001.7713426484,2,296379.7966656,0.1535645205441531,0,0.0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0
84,1930001.7713426484,5,181629.00409980002,0.09410820590773125,0,0.0,0,0,0.0,0,0,0,5,0,0,0.0,0,0,0
85,1930001.7713426484,2,61299.335363399994,0.03176128450947263,0,0.0,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0
86,1930001.7713426484,1,19942.7042736,0.01033299791208296,0,0.0,1,1,5000.0,0,0,0,1,0,0,0.0,0,0,0
87,1930001.7713426484,3,1420620.1599311999,0.7360719461635075,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
88,1930001.7713426484,3,120550.83583920001,0.062461515646867076,0,0.0,2,2,10000.0,0,0,0,3,0,0,0.0,0,0,0
89,1930001.7713426484,3,921093.8777760001,0.477250275856079,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
90,1930001.7713426484,0,0.0,0.0,0,0.0,1,1,5000.0,0,0,0,0,0,0,0.0,0,0,0
91,1930001.7713426484,5,580078.2326904,0.3005583939370458,0,0.0,0,0,0.0,0,0,0,5,0,0,0.0,0,0,0
92,1930001.7713426484,4,149930.3510052,0.07768404839385076,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
93,1930001.7713426484,7,427467.415488,0.2214855042286427,0,0.0,0,0,0.0,0,0,0,7,0,0,0.0,0,0,0
94,1930001.7713426484,3,367489.7181192,0.19040900561637705,0,0.0,1,1,5000.0,0,0,0,3,0,0,0.0,0,0,0
95,1930001.7713426484,3,273944.992392,0.1419402802938487,0,0.0,0,0,0.0,0,0,0,3,0,0,0.0,0,0,0
96,1930001.7713426484,6,1375678.42224,0.7127860930837275,0,0.0,0,0,0.0,0,0,0,6,0,0,0.0,0,0,0
97,1930001.7713426484,4,862795.57756464,0.44704393041277735,0,0.0,0,0,0.0,0,0,0,4,0,0,0.0,0,0,0
98,1930001.7713426484,9,1567974.6867455998,0.81242137184921,0,0.0,0,0,0.0,0,0,0,10,1,0,0.0,0,0,0
99,1930001.7713426484,7,1450661.8468704,0.7516375727786069,0,0.0,0,0,0.0,0,0,0,7,0,0,0.0,0,0,0
100,1930001.7713426484,6,321168.18776544,0.16640823471473407,0,0.0,0,0,0.0,0,0,0,6,0,0,0.0,0,0,0
