Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
12,P1517,Emergency_Replacement,1.0,6.0,1.0,0.0,3319073.6648,4148.842081,6.0,DI,HDPE,0
12,P1047,Break_Event,1.0954893662230663,1.0,1.0954893662230663,0.0,5000.0,378.2652544,6.0,AC,,1
12,P1517,Break_Event,1.62453803462746,1.0,1.62453803462746,0.0,5000.0,4148.842081,6.0,DI,,1
13,P1515,Break_Event,1.684804179142753,1.384804179142753,1.684804179142753,0.0,5000.0,2548.44656,6.0,DI,,1
13,P1345,Emergency_Replacement,1.0,6.0,1.0,0.0,657602.30008,822.0028751,6.0,DI,HDPE,0
13,P1345,Break_Event,1.7750152985339966,1.0,1.7750152985339966,0.0,5000.0,822.0028751,6.0,DI,,1
13,P1325,Break_Event,1.9315165050684604,1.6315165050684604,1.9315165050684604,0.0,5000.0,493.6419591,6.0,AC,,1
13,P977,Emergency_Replacement,1.0,6.0,1.0,0.0,56865.723512,71.08215439,2.0,GI,HDPE,0
13,P977,Break_Event,1.0790447856606766,1.0,1.0790447856606766,0.0,5000.0,71.08215439,2.0,GI,,1
13,P1275,Emergency_Replacement,1.0,6.0,1.0,0.0,27357.060872,34.19632609,2.0,GI,HDPE,0
13,P1157,CIP_Replacement,1.004004823497796,6.0,1.004004823497796,3492.997788631813,149022.75672,206.976051,6.0,AC,HDPE,0
13,P989,Emergency_Replacement,1.0,6.0,1.0,0.0,175380.62192,219.2257774,6.0,CI,HDPE,0
14,P1363,Break_Event,3.8946581143115107,3.594658114311511,3.8946581143115107,0.0,5000.0,143.0000988,6.0,DI,,1
14,P1503,Break_Event,3.595805902557242,3.2958059025572424,3.595805902557242,0.0,5000.0,1047.162738,6.0,DI,,1
14,P1311,Break_Event,1.3817004630134924,1.0817004630134923,1.3817004630134924,0.0,5000.0,180.0,8.0,Default,,1
14,P1197,Break_Event,1.3109998939970244,1.0109998939970244,1.3109998939970244,0.0,5000.0,320.2790161,8.0,AC,,1
14,P1223,Emergency_Replacement,1.0,6.0,1.0,0.0,439478.77664,549.3484708,8.0,AC,HDPE,0
14,P1217,Emergency_Replacement,1.0,6.0,1.0,0.0,34653.737328,43.31717166,6.0,AC,HDPE,0
14,P1413,Break_Event,3.648465232386335,3.348465232386335,3.648465232386335,0.0,5000.0,40.28210035,6.0,DI,,1
14,P1203,Emergency_Replacement,1.0,6.0,1.0,0.0,493426.52615999995,616.7831577,8.0,AC,HDPE,0
14,P1191,Emergency_Replacement,1.0,6.0,1.0,0.0,228287.39176,285.3592397,10.0,AC,HDPE,0
14,P1147,Emergency_Replacement,1.0,6.0,1.0,0.0,21509.710584,26.88713823,6.0,AC,HDPE,0
14,P1135,Emergency_Replacement,1.0,6.0,1.0,0.0,57568.064816000006,71.96008102,8.0,AC,HDPE,0
