Year,PipeID,Action,PreCondition,PostCondition,Condition_Before,Priority,Cost,Length,Diameter,Material,NewMaterial,Breaks
3,P1029,Break_Event,1.2920636574570137,1.0,1.2920636574570137,0.0,5000.0,526.9002055,6.0,AC,,1
3,P1171,Emergency_Replacement,1.0,6.0,1.0,0.0,535605.60392,669.5070049,6.0,AC,HDPE,0
4,P1193,Break_Event,1.4377826844484014,1.1377826844484014,1.4377826844484014,0.0,5000.0,401.9278884,10.0,AC,,1
4,P1543,Break_Event,1.103981872747806,1.0,1.103981872747806,0.0,5000.0,433.9023649,2.0,GI,,1
4,P1395,Break_Event,4.5187851159855645,4.218785115985565,4.5187851159855645,0.0,5000.0,910.8566616,6.0,DI,,1
4,P1391,Break_Event,4.744694690393653,4.4446946903936535,4.744694690393653,0.0,5000.0,889.7215058,6.0,DI,,1
4,P1543,Emergency_Replacement,1.0,6.0,1.0,0.0,347121.89192,433.9023649,2.0,GI,HDPE,0
4,P1293,Emergency_Replacement,1.0,6.0,1.0,0.0,271474.04424,339.3425553,1.5,GI,HDPE,0
4,P1293,Break_Event,1.0580845667472474,1.0,1.0580845667472474,0.0,5000.0,339.3425553,1.5,GI,,1
4,P1209,Break_Event,1.5772095343743018,1.2772095343743017,1.5772095343743018,0.0,5000.0,324.6950887,6.0,AC,,1
4,P1189,Emergency_Replacement,1.0,6.0,1.0,0.0,888017.3976,1110.021747,10.0,AC,HDPE,0
4,P1047,Emergency_Replacement,1.0,6.0,1.0,0.0,302612.20352,378.2652544,6.0,AC,HDPE,0
4,P1183,Break_Event,1.575758005960292,1.275758005960292,1.575758005960292,0.0,5000.0,551.1132222,10.0,AC,,1
4,P1149,Emergency_Replacement,1.0,6.0,1.0,0.0,389851.82192,487.3147774,6.0,AC,HDPE,0
4,P1149,Break_Event,1.105830914930811,1.0,1.105830914930811,0.0,5000.0,487.3147774,6.0,AC,,1
4,P1099,Emergency_Replacement,1.0,6.0,1.0,0.0,380597.37712,475.7467214,6.0,AC,HDPE,0
4,P1099,Break_Event,1.273186733627785,1.0,1.273186733627785,0.0,5000.0,475.7467214,6.0,AC,,1
4,P1047,Break_Event,1.27129347814975,1.0,1.27129347814975,0.0,5000.0,378.2652544,6.0,AC,,1
4,P1027,Break_Event,1.5239074821751966,1.2239074821751965,1.5239074821751966,0.0,5000.0,450.3187218,6.0,AC,,1
4,P1039,Emergency_Replacement,1.0,6.0,1.0,0.0,312202.25032,390.2528129,6.0,AC,HDPE,0
4,P1189,Break_Event,1.2951682578682637,1.0,1.2951682578682637,0.0,10000.0,1110.021747,10.0,AC,,2
5,P1287,Break_Event,1.066316341384511,1.0,1.066316341384511,0.0,5000.0,341.4388884,3.0,GI,,1
5,P1287,Emergency_Replacement,1.0,6.0,1.0,0.0,273151.11072,341.4388884,3.0,GI,HDPE,0
5,P1391,Break_Event,4.345571529367557,4.045571529367558,4.345571529367557,0.0,5000.0,889.7215058,6.0,DI,,1
5,P1243,Break_Event,1.459768711724915,1.159768711724915,1.459768711724915,0.0,5000.0,111.168265,6.0,AC,,1
5,P1457,Break_Event,3.163167095974247,2.863167095974247,3.163167095974247,0.0,5000.0,2327.229652,6.0,DI,,1
5,P1517,Break_Event,2.937465828115769,2.637465828115769,2.937465828115769,0.0,5000.0,4148.842081,6.0,DI,,1
5,P1533,Break_Event,3.0004034958276615,2.7004034958276617,3.0004034958276615,0.0,5000.0,178.6956353,6.0,DI,,1
5,P1441,Break_Event,3.2075932852155793,2.9075932852155795,3.2075932852155793,0.0,5000.0,295.6924926,6.0,DI,,1
5,P1161,Emergency_Replacement,1.0,6.0,1.0,0.0,148555.81736,185.6947717,1.5,GI,HDPE,0
5,P1027,Break_Event,1.182667409652341,1.0,1.182667409652341,0.0,5000.0,450.3187218,6.0,AC,,1
5,P1155,Emergency_Replacement,1.0,6.0,1.0,0.0,504835.74504,631.0446813,6.0,AC,HDPE,0
5,P1155,Break_Event,1.2051048243328444,1.0,1.2051048243328444,0.0,5000.0,631.0446813,6.0,AC,,1
5,P1027,Emergency_Replacement,1.0,6.0,1.0,0.0,360254.97744,450.3187218,6.0,AC,HDPE,0
5,P1161,Break_Event,1.1676980975842102,1.0,1.1676980975842102,0.0,5000.0,185.6947717,1.5,GI,,1
5,P1023,Break_Event,1.4914482669062405,1.1914482669062405,1.4914482669062405,0.0,5000.0,369.6396248,6.0,AC,,1
5,P1231,Emergency_Replacement,1.0,6.0,1.0,0.0,640637.87872,800.7973484,6.0,AC,HDPE,0
5,P1065,Emergency_Replacement,1.0,6.0,1.0,0.0,125637.37312,157.0467164,6.0,CI,HDPE,0
